state,value
"(0, 0, 0)",40.26608461034008
"(0, 0, 1)",43.94004566732271
"(0, 1, 0)",38.919426997675444
"(0, 1, 1)",42.49589193826512
"(0, 2, 0)",32.02566652167997
"(0, 2, 1)",36.4411623493437
"(0, 3, 0)",27.714292550312056
"(0, 3, 1)",33.00194416720844
"(0, 4, 0)",23.995778574802827
"(0, 4, 1)",29.015181343194715
"(1, 0, 0)",38.919426997675444
"(1, 0, 1)",48.95387557352814
"(1, 1, 0)",34.785321045763304
"(1, 1, 1)",47.85348487600997
"(1, 2, 0)",21.677588727438064
"(1, 2, 1)",34.29024593707466
"(1, 3, 0)",22.647460303532494
"(1, 3, 1)",36.82317698026615
"(1, 4, 0)",21.12185368034502
"(1, 4, 1)",26.905305439937983
"(2, 0, 0)",34.300456767452616
"(2, 0, 1)",54.29557616742384
"(2, 1, 0)",30.54685292823635
"(2, 1, 1)",56.23941694628837
"(2, 2, 0)",22.939417832231044
"(2, 2, 1)",47.93597264378963
"(2, 3, 0)",18.692908897149845
"(2, 3, 1)",44.37804178394686
"(2, 4, 0)",0.0
"(2, 4, 1)",0.0
"(3, 0, 0)",30.049748642847383
"(3, 0, 1)",59.6040181740089
"(3, 1, 0)",26.636764740530495
"(3, 1, 1)",63.4356018034973
"(3, 2, 0)",14.601526439845316
"(3, 2, 1)",60.265995887639605
"(3, 3, 0)",5.377483838435595
"(3, 3, 1)",60.91057045501603
"(3, 4, 0)",0.0
"(3, 4, 1)",0.0
"(4, 0, 0)",26.178174150614375
"(4, 0, 1)",65.04191360844356
"(4, 1, 0)",23.381454889517222
"(4, 1, 1)",72.21288465610293
"(4, 2, 0)",18.439274707795377
"(4, 2, 1)",80.4000818046784
"(4, 3, 0)",14.534541537450995
"(4, 3, 1)",92.32901752250189
"(4, 4, 0)",2.626073832941638
"(4, 4, 1)",0.0
